Municipality,Population,Total_Elected_Officials,Aldermen_Count,Total_Aldermen_Pay,Mayor_Pay,Admin_Position,Admin_Pay,Sum_Total_Payroll,Per_Capita_Admin_Cost
Ballwin,30404,9,8,33600,8400,City Administrator,145000,187000,6.150506512301013
Bel-Nor,1499,5,4,4800,1800,City Clerk,34000,40600,27.084723148765843
Bel-Ridge,2737,9,8,0,0,City Clerk,36400,36400,13.29923273657289
Bella Villa,729,7,6,21600,3000,City Clerk,31988,56588,77.6241426611797
Bellefontaine Neighbors,10860,9,8,0,0,City Clerk,41633,41633,3.833609576427256
Bellerive Acres,188,5,4,0,0,City Administrator,9000,9000,47.87234042553192
Berkeley,8978,7,6,12600,2100,City Manager,80000,94700,10.54800623746937
Beverly Hills,574,5,4,14400,4800,City Administrator,0,19200,33.44947735191638
Black Jack,6929,10,8,57600,24000,City Clerk,44387,125987,18.182566026843702
Breckenridge Hills,4746,9,8,0,0,None Provided,0,0,0.0
Brentwood,8055,9,8,57600,14400,City Administrator,120622,192622,23.91334574798262
Bridgeton,11550,10,8,4800,15000,City Administrator,122846,142646,12.35030303030303
Calverton Park,1293,5,4,2400,2400,City Clerk,39374,44174,34.16395978344934
Champ,13,5,4,0,0,Village Clerk,0,0,0.0
Charlack,1363,5,4,0,0,City Clerk,31200,31200,22.890682318415262
Chesterfield,47484,9,8,48000,12000,City Administrator,160332,220332,4.640131412686379
Clarkson Valley,2632,7,6,7200,5400,City Clerk,36582,49182,18.68617021276596
Clayton,15939,7,6,14400,6000,City Manager,161244,181644,11.396198004893657
Cool Valley,1196,5,4,9600,3600,City Clerk,43514,56714,47.419732441471574
Country Club Hills,1274,5,4,0,0,City Clerk,18462,18462,14.491365777080063
Country Life Acres,74,5,4,4,1,None Provided,0,5,0.06756756756756757
Crestwood,11912,9,8,33600,8400,City Administrator,93500,135500,11.375083948959032
Creve Coeur,17833,9,8,76800,14400,City Administrator,158616,249816,14.008635675433185
Crystal Lake Park,470,5,4,0,0,City Clerk,23400,23400,49.787234042553195
Dellwood,5025,9,8,33600,8400,City Administrator,55000,97000,19.303482587064675
Des Peres,8373,8,6,41400,13200,City Administrator,142192,196792,23.50316493490983
Edmundson,834,5,4,19200,9600,City Clerk,66414,95214,114.16546762589928
Ellisville,9133,7,6,37500,9200,City Manager,136500,183200,20.059126245483412
Eureka,10189,7,6,28800,8400,City Administrator,108972,146172,14.346059475905388
Fenton,4022,9,8,0,0,City Clerk,77600,77600,19.29388363998011
Ferguson,21203,7,6,18000,4200,City Manager,110000,132200,6.234966749988209
Flordell Hills,822,5,4,14400,4800,City Clerk,35360,54560,66.37469586374696
Florissant,52158,10,9,104112,135746,City Clerk,70450,310308,5.949384562291499
Frontenac,3482,7,6,0,0,City Administrator,142099,142099,40.809592188397474
Glen Echo Park,160,5,4,4800,1200,Village Clerk,0,6000,37.5
Glendale,5925,7,6,16200,3600,City Administrator,82424,102224,17.252995780590716
Grantwood Village,863,5,4,19200,5400,Village Clerk,4800,29400,34.06720741599073
Green Park,2622,7,6,18600,5400,City Administrator,54997,78997,30.128527841342486
Greendale,651,5,4,4800,3600,City Administrator,41600,50000,76.80491551459293
Hanley Hills,2101,9,8,0,0,Village Clerk,34320,34320,16.335078534031414
Hazelwood,25703,9,8,19200,3000,City Manager,124444,146644,5.7053262265105245
Hillsdale,1478,5,4,4800,1800,City Manager,20000,26600,17.997293640054128
Huntleigh,334,6,4,0,0,City Clerk,0,0,0.0
Jennings,14712,9,8,57600,25000,City Clerk,61191,143791,9.773722131593257
Kinloch,298,5,4,0,0,City Manager,55000,55000,184.56375838926175
Kirkwood,27540,7,6,14400,3600,Chief Admin Officer,161200,179200,6.506899055918664
Ladue,8521,7,6,0,0,City Clerk,104000,104000,12.205140241755663
Lakeshire,1432,7,6,39312,2616,City Clerk,5182,47110,32.89804469273743
Mackenzie,134,5,4,0,0,None Provided,0,0,0.0
Manchester,18094,7,6,27000,10800,City Administrator,99323,137123,7.578368519951365
Maplewood,8046,7,6,17700,4800,City Manager,162702,185202,23.017897091722595
Marlborough,2179,5,4,12000,3000,Village Clerk,45942,60942,27.967875172097294
Maryland Heights,27472,9,8,57600,14400,City Administrator,160000,232000,8.44496214327315
Moline Acres,2442,5,4,24000,7200,City Clerk,52000,83200,34.07043407043407
Normandy,5008,9,8,24000,10800,City Administrator,64000,98800,19.728434504792332
Northwoods,4227,9,8,57600,9000,City Administrator,71469,138069,32.66359119943222
Norwood Court,959,5,4,39600,9900,Village Clerk,9600,59100,61.6266944734098
Oakland,1381,5,4,8880,6000,City Administrator,65200,80080,57.9869659666908
Olivette,7737,5,4,4800,1200,City Manager,97375,103375,13.361121881866357
Overland,16062,9,8,48000,12000,City Administrator,102622,162622,10.124642012202715
Pacific,7002,10,6,27450,7990,City Administrator,76000,111440,15.91545272779206
Pagedale,3304,7,6,50400,18000,City Clerk,0,68400,20.702179176755447
Pasadena Hills,930,5,4,0,0,City Administrator,38500,38500,41.39784946236559
Pasadena Park,470,5,4,12000,3000,Village Clerk,14400,29400,62.5531914893617
Pine Lawn,3275,9,8,48000,60000,City Clerk,34944,142944,43.64702290076336
Richmond Heights,8603,9,8,9600,1000,City Manager,129051,139651,16.232825758456354
Riverview,2856,5,4,4800,1200,Village Clerk,27000,33000,11.554621848739496
Rock Hill,4635,7,6,19800,6600,City Administrator,82000,108400,23.38727076591154
Saint Ann,13020,10,8,72000,20700,City Administrator,90686,183386,14.084946236559139
Saint John,6517,7,6,10800,1800,City Manager,110850,123450,18.942765075955194
Saint Louis City,319294,38,29,1116000,131820,None,0,1247820,3.908059656617412
Shrewsbury,6254,7,6,27000,9000,Director of Administration,92507,128507,20.547969299648226
STL County,998954,10,7,145000,140000,None,0,285000,0.28529842214956846
Sunset Hills,8496,10,8,38400,6000,City Administrator,59301,103701,12.205861581920903
Sycamore Hills,668,5,4,6480,2400,Village Clerk,2550,11430,17.110778443113773
Town & Country,10815,9,8,40320,6000,City Administrator,140036,186356,17.231252889505317
Twin Oaks,392,5,4,0,0,Village Clerk,0,0,0.0
University City,35371,7,6,14400,4800,City Manager,135252,154452,4.366628028611009
Uplands Park,445,5,4,0,2700,Village Clerk,32000,34700,77.97752808988764
Valley Park,6942,9,8,38400,9600,City Clerk,57097,105097,15.13929703255546
Velda City,1420,5,4,14400,9000,City Clerk,33280,56680,39.91549295774648
Velda Village Hills,1055,5,4,21000,6300,City Clerk,33280,60580,57.4218009478673
Vinita Park,1880,7,6,48240,40680,City Clerk,45323,134243,71.40585106382979
Vinita Terrace,277,5,4,1924,4849,Village Clerk,5400,12173,43.94584837545126
Warson Woods,1962,9,8,9600,3000,City Clerk,55755,68355,34.8394495412844
Webster Groves,22995,7,6,3600,750,City Manager,166306,170656,7.421439443357252
Wellston,2313,7,6,45000,20000,City Administrator,10000,75000,32.425421530479895
Westwood,278,5,4,0,0,N/A,0,0,0.0
Wilbur Park,471,5,4,10400,3000,N/A,0,13400,28.450106157112526
Wildwood,35517,17,16,40000,5000,City Administrator,136500,181500,5.110228904468283
Winchester,1547,5,4,14880,5040,City Administrator,63000,82920,53.600517129928896
Woodson Terrace,4063,11,8,48000,24456,City Clerk,55000,127456,31.36992370169825
